Name,Location,Year,Kilometers_Driven,Owner_Type,Engine,Power,Seats,Price_Lakhs,Mileage_kmpl,Mileage_kmkg,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Current_Age,Price_Per_Year
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,1582.0,126.2,5.0,12.5,19.67,13.0,False,False,True,10,1.25
Honda Jazz V,Chennai,2011,46000,First,1199.0,88.7,5.0,4.5,18.19,13.0,False,True,True,14,0.32142857142857145
Maruti Ertiga VDI,Chennai,2012,87000,First,1248.0,88.76,7.0,6.0,20.77,13.0,False,False,True,13,0.46153846153846156
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,1968.0,140.8,5.0,17.74,15.2,13.0,False,False,False,12,1.4783333333333333
Nissan Micra Diesel XV,Jaipur,2013,86999,First,1461.0,63.1,5.0,3.5,23.08,13.0,False,False,True,12,0.2916666666666667
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,2755.0,171.5,8.0,17.5,11.36,13.0,False,False,False,9,1.9444444444444444
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,1598.0,103.6,5.0,5.2,20.54,13.0,False,False,True,12,0.43333333333333335
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,1248.0,74.0,5.0,1.95,22.3,13.0,False,False,True,13,0.15
Maruti Ciaz Zeta,Kochi,2018,25692,First,1462.0,103.25,5.0,9.95,21.56,13.0,False,True,True,7,1.4214285714285713
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,1497.0,116.3,5.0,4.49,16.8,13.0,False,True,False,13,0.3453846153846154
Maruti Swift VDI BSIV,Jaipur,2015,64424,First,1248.0,74.0,5.0,5.6,25.2,13.0,False,False,True,10,0.5599999999999999
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,2179.0,187.7,5.0,27.0,12.7,13.0,False,False,False,11,2.4545454545454546
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,2179.0,115.0,5.0,17.5,0.0,13.0,False,False,False,13,1.3461538461538463
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,2477.0,175.56,7.0,15.0,13.5,13.0,False,False,True,11,1.3636363636363635
Honda Amaze S i-Dtech,Kochi,2016,58950,First,1498.0,98.6,5.0,5.4,25.8,13.0,False,False,True,9,0.6000000000000001
Maruti Swift DDiS VDI,Jaipur,2017,25000,First,1248.0,74.0,5.0,5.99,28.4,13.0,False,False,True,8,0.74875
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,1461.0,83.8,5.0,6.34,20.45,13.0,False,False,True,11,0.5763636363636363
